"['104.22222222222221', '101.74074074074073', '181.14814814814815', '126.55555555555556', '94.29629629629629', '84.37037037037037', '86.85185185185185', '79.4074074074074', '74.44444444444444', '71.96296296296296', '69.48148148148148', '71.96296296296296', '64.51851851851852', '62.03703703703704', '1']"
"['101.74074074074073', '181.14814814814815', '126.55555555555556', '94.29629629629629', '84.37037037037037', '86.85185185185185', '79.4074074074074', '74.44444444444444', '71.96296296296296', '69.48148148148148', '71.96296296296296', '64.51851851851852', '62.03703703703704', '64.51851851851852', '1']"
"['181.14814814814815', '126.55555555555556', '94.29629629629629', '84.37037037037037', '86.85185185185185', '79.4074074074074', '74.44444444444444', '71.96296296296296', '69.48148148148148', '71.96296296296296', '64.51851851851852', '62.03703703703704', '64.51851851851852', '59.55555555555556', '1']"
"['126.55555555555556', '94.29629629629629', '84.37037037037037', '86.85185185185185', '79.4074074074074', '74.44444444444444', '71.96296296296296', '69.48148148148148', '71.96296296296296', '64.51851851851852', '62.03703703703704', '64.51851851851852', '59.55555555555556', '57.07407407407407', '1']"
"['94.29629629629629', '84.37037037037037', '86.85185185185185', '79.4074074074074', '74.44444444444444', '71.96296296296296', '69.48148148148148', '71.96296296296296', '64.51851851851852', '62.03703703703704', '64.51851851851852', '59.55555555555556', '57.07407407407407', '59.55555555555556', '1']"
"['84.37037037037037', '86.85185185185185', '79.4074074074074', '74.44444444444444', '71.96296296296296', '69.48148148148148', '71.96296296296296', '64.51851851851852', '62.03703703703704', '64.51851851851852', '59.55555555555556', '57.07407407407407', '59.55555555555556', '67.0', '1']"
"['86.85185185185185', '79.4074074074074', '74.44444444444444', '71.96296296296296', '69.48148148148148', '71.96296296296296', '64.51851851851852', '62.03703703703704', '64.51851851851852', '59.55555555555556', '57.07407407407407', '59.55555555555556', '67.0', '59.55555555555556', '1']"
"['79.4074074074074', '74.44444444444444', '71.96296296296296', '69.48148148148148', '71.96296296296296', '64.51851851851852', '62.03703703703704', '64.51851851851852', '59.55555555555556', '57.07407407407407', '59.55555555555556', '67.0', '59.55555555555556', '64.51851851851852', '1']"
"['74.44444444444444', '71.96296296296296', '69.48148148148148', '71.96296296296296', '64.51851851851852', '62.03703703703704', '64.51851851851852', '59.55555555555556', '57.07407407407407', '59.55555555555556', '67.0', '59.55555555555556', '64.51851851851852', '79.4074074074074', '0']"
"['71.96296296296296', '69.48148148148148', '71.96296296296296', '64.51851851851852', '62.03703703703704', '64.51851851851852', '59.55555555555556', '57.07407407407407', '59.55555555555556', '67.0', '59.55555555555556', '64.51851851851852', '79.4074074074074', '79.4074074074074', '0']"
"['69.48148148148148', '71.96296296296296', '64.51851851851852', '62.03703703703704', '64.51851851851852', '59.55555555555556', '57.07407407407407', '59.55555555555556', '67.0', '59.55555555555556', '64.51851851851852', '79.4074074074074', '79.4074074074074', '74.44444444444444', '1']"
"['71.96296296296296', '64.51851851851852', '62.03703703703704', '64.51851851851852', '59.55555555555556', '57.07407407407407', '59.55555555555556', '67.0', '59.55555555555556', '64.51851851851852', '79.4074074074074', '79.4074074074074', '74.44444444444444', '71.96296296296296', '0']"
"['64.51851851851852', '62.03703703703704', '64.51851851851852', '59.55555555555556', '57.07407407407407', '59.55555555555556', '67.0', '59.55555555555556', '64.51851851851852', '79.4074074074074', '79.4074074074074', '74.44444444444444', '71.96296296296296', '71.96296296296296', '1']"
"['62.03703703703704', '64.51851851851852', '59.55555555555556', '57.07407407407407', '59.55555555555556', '67.0', '59.55555555555556', '64.51851851851852', '79.4074074074074', '79.4074074074074', '74.44444444444444', '71.96296296296296', '71.96296296296296', '67.0', '1']"
"['64.51851851851852', '59.55555555555556', '57.07407407407407', '59.55555555555556', '67.0', '59.55555555555556', '64.51851851851852', '79.4074074074074', '79.4074074074074', '74.44444444444444', '71.96296296296296', '71.96296296296296', '67.0', '64.51851851851852', '0']"
"['59.55555555555556', '57.07407407407407', '59.55555555555556', '67.0', '59.55555555555556', '64.51851851851852', '79.4074074074074', '79.4074074074074', '74.44444444444444', '71.96296296296296', '71.96296296296296', '67.0', '64.51851851851852', '67.0', '0']"
"['57.07407407407407', '59.55555555555556', '67.0', '59.55555555555556', '64.51851851851852', '79.4074074074074', '79.4074074074074', '74.44444444444444', '71.96296296296296', '71.96296296296296', '67.0', '64.51851851851852', '67.0', '64.51851851851852', '0']"
"['59.55555555555556', '67.0', '59.55555555555556', '64.51851851851852', '79.4074074074074', '79.4074074074074', '74.44444444444444', '71.96296296296296', '71.96296296296296', '67.0', '64.51851851851852', '67.0', '64.51851851851852', '64.51851851851852', '1']"
"['67.0', '59.55555555555556', '64.51851851851852', '79.4074074074074', '79.4074074074074', '74.44444444444444', '71.96296296296296', '71.96296296296296', '67.0', '64.51851851851852', '67.0', '64.51851851851852', '64.51851851851852', '81.88888888888889', '0']"
"['59.55555555555556', '64.51851851851852', '79.4074074074074', '79.4074074074074', '74.44444444444444', '71.96296296296296', '71.96296296296296', '67.0', '64.51851851851852', '67.0', '64.51851851851852', '64.51851851851852', '81.88888888888889', '81.88888888888889', '0']"
"['64.51851851851852', '79.4074074074074', '79.4074074074074', '74.44444444444444', '71.96296296296296', '71.96296296296296', '67.0', '64.51851851851852', '67.0', '64.51851851851852', '64.51851851851852', '81.88888888888889', '81.88888888888889', '57.07407407407407', '1']"
"['79.4074074074074', '79.4074074074074', '74.44444444444444', '71.96296296296296', '71.96296296296296', '67.0', '64.51851851851852', '67.0', '64.51851851851852', '64.51851851851852', '81.88888888888889', '81.88888888888889', '57.07407407407407', '59.55555555555556', '1']"
"['79.4074074074074', '74.44444444444444', '71.96296296296296', '71.96296296296296', '67.0', '64.51851851851852', '67.0', '64.51851851851852', '64.51851851851852', '81.88888888888889', '81.88888888888889', '57.07407407407407', '59.55555555555556', '69.48148148148148', '1']"
"['74.44444444444444', '71.96296296296296', '71.96296296296296', '67.0', '64.51851851851852', '67.0', '64.51851851851852', '64.51851851851852', '81.88888888888889', '81.88888888888889', '57.07407407407407', '59.55555555555556', '69.48148148148148', '76.92592592592592', '0']"
"['71.96296296296296', '71.96296296296296', '67.0', '64.51851851851852', '67.0', '64.51851851851852', '64.51851851851852', '81.88888888888889', '81.88888888888889', '57.07407407407407', '59.55555555555556', '69.48148148148148', '76.92592592592592', '84.37037037037037', '0']"
"['71.96296296296296', '67.0', '64.51851851851852', '67.0', '64.51851851851852', '64.51851851851852', '81.88888888888889', '81.88888888888889', '57.07407407407407', '59.55555555555556', '69.48148148148148', '76.92592592592592', '84.37037037037037', '74.44444444444444', '0']"
"['67.0', '64.51851851851852', '67.0', '64.51851851851852', '64.51851851851852', '81.88888888888889', '81.88888888888889', '57.07407407407407', '59.55555555555556', '69.48148148148148', '76.92592592592592', '84.37037037037037', '74.44444444444444', '71.96296296296296', '0']"
"['64.51851851851852', '67.0', '64.51851851851852', '64.51851851851852', '81.88888888888889', '81.88888888888889', '57.07407407407407', '59.55555555555556', '69.48148148148148', '76.92592592592592', '84.37037037037037', '74.44444444444444', '71.96296296296296', '59.55555555555556', '1']"
"['67.0', '64.51851851851852', '64.51851851851852', '81.88888888888889', '81.88888888888889', '57.07407407407407', '59.55555555555556', '69.48148148148148', '76.92592592592592', '84.37037037037037', '74.44444444444444', '71.96296296296296', '59.55555555555556', '59.55555555555556', '1']"
"['64.51851851851852', '64.51851851851852', '81.88888888888889', '81.88888888888889', '57.07407407407407', '59.55555555555556', '69.48148148148148', '76.92592592592592', '84.37037037037037', '74.44444444444444', '71.96296296296296', '59.55555555555556', '59.55555555555556', '84.37037037037037', '0']"
"['64.51851851851852', '81.88888888888889', '81.88888888888889', '57.07407407407407', '59.55555555555556', '69.48148148148148', '76.92592592592592', '84.37037037037037', '74.44444444444444', '71.96296296296296', '59.55555555555556', '59.55555555555556', '84.37037037037037', '94.29629629629629', '1']"
"['81.88888888888889', '81.88888888888889', '57.07407407407407', '59.55555555555556', '69.48148148148148', '76.92592592592592', '84.37037037037037', '74.44444444444444', '71.96296296296296', '59.55555555555556', '59.55555555555556', '84.37037037037037', '94.29629629629629', '71.96296296296296', '0']"
"['81.88888888888889', '57.07407407407407', '59.55555555555556', '69.48148148148148', '76.92592592592592', '84.37037037037037', '74.44444444444444', '71.96296296296296', '59.55555555555556', '59.55555555555556', '84.37037037037037', '94.29629629629629', '71.96296296296296', '62.03703703703704', '1']"
"['57.07407407407407', '59.55555555555556', '69.48148148148148', '76.92592592592592', '84.37037037037037', '74.44444444444444', '71.96296296296296', '59.55555555555556', '59.55555555555556', '84.37037037037037', '94.29629629629629', '71.96296296296296', '62.03703703703704', '57.07407407407407', '1']"
"['59.55555555555556', '69.48148148148148', '76.92592592592592', '84.37037037037037', '74.44444444444444', '71.96296296296296', '59.55555555555556', '59.55555555555556', '84.37037037037037', '94.29629629629629', '71.96296296296296', '62.03703703703704', '57.07407407407407', '54.59259259259259', '1']"
"['69.48148148148148', '76.92592592592592', '84.37037037037037', '74.44444444444444', '71.96296296296296', '59.55555555555556', '59.55555555555556', '84.37037037037037', '94.29629629629629', '71.96296296296296', '62.03703703703704', '57.07407407407407', '54.59259259259259', '54.59259259259259', '0']"
"['76.92592592592592', '84.37037037037037', '74.44444444444444', '71.96296296296296', '59.55555555555556', '59.55555555555556', '84.37037037037037', '94.29629629629629', '71.96296296296296', '62.03703703703704', '57.07407407407407', '54.59259259259259', '54.59259259259259', '52.11111111111111', '0']"
"['84.37037037037037', '74.44444444444444', '71.96296296296296', '59.55555555555556', '59.55555555555556', '84.37037037037037', '94.29629629629629', '71.96296296296296', '62.03703703703704', '57.07407407407407', '54.59259259259259', '54.59259259259259', '52.11111111111111', '54.59259259259259', '1']"
"['74.44444444444444', '71.96296296296296', '59.55555555555556', '59.55555555555556', '84.37037037037037', '94.29629629629629', '71.96296296296296', '62.03703703703704', '57.07407407407407', '54.59259259259259', '54.59259259259259', '52.11111111111111', '54.59259259259259', '54.59259259259259', '0']"
"['71.96296296296296', '59.55555555555556', '59.55555555555556', '84.37037037037037', '94.29629629629629', '71.96296296296296', '62.03703703703704', '57.07407407407407', '54.59259259259259', '54.59259259259259', '52.11111111111111', '54.59259259259259', '54.59259259259259', '57.07407407407407', '0']"
"['59.55555555555556', '59.55555555555556', '84.37037037037037', '94.29629629629629', '71.96296296296296', '62.03703703703704', '57.07407407407407', '54.59259259259259', '54.59259259259259', '52.11111111111111', '54.59259259259259', '54.59259259259259', '57.07407407407407', '84.37037037037037', '0']"
"['59.55555555555556', '84.37037037037037', '94.29629629629629', '71.96296296296296', '62.03703703703704', '57.07407407407407', '54.59259259259259', '54.59259259259259', '52.11111111111111', '54.59259259259259', '54.59259259259259', '57.07407407407407', '84.37037037037037', '64.51851851851852', '0']"
