"['133.07', '132.18', '135.38', '138.33', '141.6', '146.54', '148.02', '158.35', '167.51', '171.37', '183.73', '195.52', '199.84', '185.46', '177.58', '186.44', '188.72', '195.37', '201.5', '198.65', '205.55', '203.25', '204.16', '212.03', '227.65', '260.9', '1']"
"['132.18', '135.38', '138.33', '141.6', '146.54', '148.02', '158.35', '167.51', '171.37', '183.73', '195.52', '199.84', '185.46', '177.58', '186.44', '188.72', '195.37', '201.5', '198.65', '205.55', '203.25', '204.16', '212.03', '227.65', '260.9', '267.87', '1']"
"['135.38', '138.33', '141.6', '146.54', '148.02', '158.35', '167.51', '171.37', '183.73', '195.52', '199.84', '185.46', '177.58', '186.44', '188.72', '195.37', '201.5', '198.65', '205.55', '203.25', '204.16', '212.03', '227.65', '260.9', '267.87', '294.77', '1']"
"['138.33', '141.6', '146.54', '148.02', '158.35', '167.51', '171.37', '183.73', '195.52', '199.84', '185.46', '177.58', '186.44', '188.72', '195.37', '201.5', '198.65', '205.55', '203.25', '204.16', '212.03', '227.65', '260.9', '267.87', '294.77', '333.74', '1']"
"['141.6', '146.54', '148.02', '158.35', '167.51', '171.37', '183.73', '195.52', '199.84', '185.46', '177.58', '186.44', '188.72', '195.37', '201.5', '198.65', '205.55', '203.25', '204.16', '212.03', '227.65', '260.9', '267.87', '294.77', '333.74', '338.13', '0']"
"['146.54', '148.02', '158.35', '167.51', '171.37', '183.73', '195.52', '199.84', '185.46', '177.58', '186.44', '188.72', '195.37', '201.5', '198.65', '205.55', '203.25', '204.16', '212.03', '227.65', '260.9', '267.87', '294.77', '333.74', '338.13', '335.45', '1']"
"['148.02', '158.35', '167.51', '171.37', '183.73', '195.52', '199.84', '185.46', '177.58', '186.44', '188.72', '195.37', '201.5', '198.65', '205.55', '203.25', '204.16', '212.03', '227.65', '260.9', '267.87', '294.77', '333.74', '338.13', '335.45', '340.03', '1']"
"['158.35', '167.51', '171.37', '183.73', '195.52', '199.84', '185.46', '177.58', '186.44', '188.72', '195.37', '201.5', '198.65', '205.55', '203.25', '204.16', '212.03', '227.65', '260.9', '267.87', '294.77', '333.74', '338.13', '335.45', '340.03', '358.66', '1']"
"['167.51', '171.37', '183.73', '195.52', '199.84', '185.46', '177.58', '186.44', '188.72', '195.37', '201.5', '198.65', '205.55', '203.25', '204.16', '212.03', '227.65', '260.9', '267.87', '294.77', '333.74', '338.13', '335.45', '340.03', '358.66', '406.2', '1']"
"['171.37', '183.73', '195.52', '199.84', '185.46', '177.58', '186.44', '188.72', '195.37', '201.5', '198.65', '205.55', '203.25', '204.16', '212.03', '227.65', '260.9', '267.87', '294.77', '333.74', '338.13', '335.45', '340.03', '358.66', '406.2', '413.8', '1']"
